#{"t_start": 1700577337.572345, "env_id": "None"}
r,l,t
3009.379838,857,1010.275191
3695.439319,1001,1012.334062
1652.527251,436,1013.373795
1841.627663,465,1014.462645
940.337424,264,1015.170347
338.551813,123,1015.6136
572.792859,139,1016.083351
1281.018358,419,1017.090048
463.183356,127,1017.540562
430.615234,131,1018.773356
675.050084,188,1019.32814
628.7741,151,1019.815319
1933.618672,493,1020.943496
3699.671748,1001,1023.009677
742.955075,189,1023.576819
679.847865,178,1024.117548
2799.000594,766,1025.808337
2504.993631,819,1027.593581
1814.044873,442,1029.473789
112.779409,95,1029.872234
975.458,288,1030.62924
1660.495297,384,1031.58141
1630.521351,470,1032.703348
153.566561,91,1033.102939
217.387028,58,1033.432975
2144.002228,562,1034.707138
1655.122982,479,1035.843007
367.382535,107,1036.272069
1218.450684,359,1037.17998
653.180068,242,1037.853451
512.531009,121,1038.306704
1531.02156,374,1039.241445
958.281619,230,1039.89613
2039.939618,606,1042.128555
597.440504,166,1042.685928
463.065058,118,1043.132648
3623.019109,979,1045.248525
3220.467244,1001,1047.37421
256.93429,72,1047.734072
3289.418945,1001,1049.846171
253.849475,62,1050.188675
1589.791509,624,1052.441553
1640.970146,417,1053.439636
368.008053,110,1053.868936
2301.359318,671,1055.353268
1461.684399,375,1056.288025
597.497053,136,1056.766186
559.332023,142,1057.251585
2099.775831,674,1058.751791
1395.378503,381,1059.701996
204.869053,63,1060.03994
1271.719282,308,1060.842474
1823.209932,463,1062.865956
1359.467385,345,1063.735922
3011.351102,1001,1065.855201
685.63098,157,1066.363067
608.265964,154,1066.86655
404.790908,106,1067.280283
3624.089153,1001,1069.410304
1681.424795,521,1070.61078
2710.310167,677,1072.087885
490.365515,296,1073.670677
1213.873916,297,1074.470856
1568.565974,531,1075.710591
2903.734861,716,1077.276246
1593.694907,475,1078.38335
506.931314,114,1078.824139
220.645494,62,1079.153248
2205.053237,587,1080.499586
3265.471367,1001,1082.605687
942.467847,341,1084.270587
657.765641,261,1084.988537
481.92799,201,1085.613391
2754.513299,1001,1087.79437
53.121277,25,1088.064576
3370.503464,1001,1090.205145
2101.950725,553,1091.480367
1559.354804,527,1092.705066
2607.310437,688,1095.090838
1606.215234,498,1096.238863
1161.8981,426,1097.239776
1053.159193,282,1097.973255
404.000895,104,1098.379565
901.460935,332,1099.224805
3714.455816,923,1101.323856
212.85279,88,1101.709657
1546.386633,415,1102.741287
960.684163,259,1103.467775
1576.403724,428,1105.387911
1400.591076,450,1106.478803
531.855262,134,1106.957682
470.109098,157,1107.480421
1896.816286,503,1108.692518
665.546366,191,1109.283943
3070.990476,767,1110.985657
1598.06193,459,1112.087711
3534.457573,1001,1114.259472
1192.106357,353,1116.029131
1556.510141,371,1116.954968
2416.023833,617,1118.3858
745.160938,250,1119.087781
271.074891,134,1119.568266
1261.019567,413,1120.580147
984.735368,248,1121.265268
2418.93736,748,1122.92761
797.499288,300,1123.727266
490.105442,115,1124.159029
691.66567,367,1125.075909
2418.254443,602,1127.339718
286.46077,108,1127.759647
661.076024,160,1128.275978
3718.339885,1001,1130.425108
4104.085358,1001,1132.581223
2187.120727,614,1133.982079
1157.80247,301,1134.774838
1418.026636,381,1135.71186
1147.283203,302,1136.535232
483.83328,145,1138.15799
1978.055953,601,1139.585214
255.744262,64,1139.932818
393.747413,176,1140.488891
779.136951,236,1141.168706
60.871332,28,1141.446741
504.031237,136,1141.927553
1444.646057,487,1143.088639
1997.403632,575,1144.426063
713.698753,226,1145.109071
992.616539,320,1145.959203
1252.299056,309,1146.786089
556.45726,155,1147.328492
309.83269,89,1147.73385
374.674224,110,1148.18866
933.859518,247,1148.894005
164.044403,49,1149.21467
788.006546,254,1149.926558
2280.28646,753,1152.489958
3789.607462,1001,1154.652836
193.822194,76,1155.068662
403.506331,105,1155.53836
316.715212,96,1156.086446
1308.177996,320,1156.98123
1545.109367,446,1158.089527
965.076165,248,1158.830126
762.646373,220,1159.509487
536.904818,143,1159.998029
1705.184405,460,1161.108163
2823.012945,761,1163.675396
332.496625,79,1164.100624
2346.971768,612,1165.493943
672.799633,220,1166.162764
1492.508469,355,1167.097478
149.481226,38,1167.392675
3658.323765,1001,1169.591634
706.443152,181,1170.204479
848.724511,207,1170.83825
1520.152916,456,1171.977211
3466.124764,1001,1175.133833
1020.231478,309,1175.947098
2692.142386,822,1177.749058
2641.593871,763,1179.429437
2702.689762,822,1181.306051
266.739797,98,1181.72225
2039.190912,614,1183.130496
652.327937,167,1184.556454
1545.558306,407,1185.562832
747.022374,196,1186.156978
998.316637,294,1186.937712
742.118488,213,1187.569251
359.809926,99,1187.983714
1177.660117,352,1188.906069
713.544324,180,1189.469785
476.542179,126,1189.935803
1778.508836,569,1191.248146
144.735049,35,1191.527063
917.689144,231,1192.212359
285.266567,74,1192.592443
1685.347884,490,1193.762654
3631.125442,1001,1196.763335
1273.708831,514,1197.955246
1501.302998,356,1198.854423
1238.673215,314,1199.681042
1343.022961,382,1200.647396
1703.641944,449,1201.772997
2628.728288,758,1203.477743
1543.238603,452,1204.654661
370.439424,122,1205.099935
318.547107,80,1205.473222
3033.553294,821,1208.12701
561.269182,149,1208.638149
1346.237956,364,1209.560774
2023.293084,673,1211.094112
1051.523739,257,1211.806512
851.292286,220,1212.462273
533.04435,136,1212.936931
393.243988,102,1213.34362
1858.369351,451,1214.432152
201.887781,92,1214.839358
1729.754692,508,1216.072434
1856.48041,478,1217.205939
1566.522297,433,1219.088583
224.961321,60,1219.423027
467.008144,117,1219.873633
131.202949,37,1220.17212
869.113148,289,1220.94819
906.575718,233,1221.606404
294.724696,141,1222.088085
219.053788,54,1222.407006
1559.586926,462,1223.494095
426.548548,131,1223.956275
1665.660495,408,1224.957973
1427.765544,478,1226.156668
233.62311,69,1226.526181
444.444227,110,1226.955715
945.203808,238,1227.630876
375.806332,101,1228.038425
948.868818,258,1228.748113
2897.784478,785,1231.322599
635.850899,198,1231.929555
3765.085824,1001,1234.088534
489.523318,167,1234.639417
567.492856,221,1235.282831
1853.364272,499,1236.491698
3170.895487,932,1238.561651
2154.001003,598,1239.959432
156.78997,41,1240.254744
1700.053149,424,1242.173105
667.263441,245,1242.856726
183.707102,91,1243.24578
1142.147182,308,1244.062778
377.384236,89,1244.450035
587.939591,175,1244.99662
482.359185,141,1245.477978
252.279013,71,1245.842322
1907.008838,493,1247.017676
3433.90181,1001,1249.220998
3590.817337,1001,1251.343916
1825.992285,460,1253.308873
718.380094,189,1253.886028
3315.851176,969,1255.996069
716.770408,242,1256.671013
2064.903134,513,1257.872812
641.124249,180,1258.436591
3482.281997,919,1260.491802
